loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2018-09-06 10:04:51.685 -0400,56,440518.7961,-1.004272461,-0.02546691895,0.02415466309
2018-09-06 10:04:51.687 -0400,57,440518.8129,-1.00328064,-0.02349853516,0.02366638184
2018-09-06 10:04:51.688 -0400,58,440518.8298,-1.004257202,-0.02252197266,0.02119445801
2018-09-06 10:04:51.690 -0400,59,440518.8467,-1.004776001,-0.01564025879,0.02267456055
2018-09-06 10:04:51.693 -0400,60,440518.8635,-1.005340576,-0.01661682129,0.03153991699
2018-09-06 10:04:51.702 -0400,61,440518.8804,-1.00579834,-0.01661682129,0.02758789063
2018-09-06 10:04:51.717 -0400,62,440518.8973,-1.005310059,-0.01809692383,0.02857971191
2018-09-06 10:04:51.736 -0400,63,440518.9142,-1.005340576,-0.01661682129,0.03153991699
2018-09-06 10:04:51.753 -0400,64,440518.931,-1.004928589,-0.013671875,0.04090881348
2018-09-06 10:04:51.770 -0400,65,440518.9479,-1.005996704,-0.015625,0.05076599121
2018-09-06 10:04:51.785 -0400,66,440518.9648,-1.005020142,-0.01661682129,0.05274963379
2018-09-06 10:04:51.835 -0400,67,440518.9816,-1.005981445,-0.01611328125,0.04879760742
2018-09-06 10:04:51.876 -0400,68,440518.9985,-1.00390625,-0.01759338379,0.03648376465
2018-09-06 10:04:51.878 -0400,69,440519.0154,-1.003845215,-0.01612854004,0.02958679199
2018-09-06 10:04:51.879 -0400,70,440519.0322,-1.004379272,-0.01318359375,0.03253173828
2018-09-06 10:04:51.881 -0400,71,440519.0491,-1.005905151,-0.013671875,0.03894042969
2018-09-06 10:04:51.887 -0400,72,440519.066,-1.007400513,-0.013671875,0.04040527344
2018-09-06 10:04:51.905 -0400,73,440519.0828,-1.002914429,-0.013671875,0.03550720215
2018-09-06 10:04:51.919 -0400,74,440519.0997,-1.005889893,-0.009246826172,0.03498840332
2018-09-06 10:04:51.938 -0400,75,440519.1166,-1.004943848,-0.007278442383,0.03993225098
2018-09-06 10:04:51.953 -0400,76,440519.1334,-1.006439209,-0.007278442383,0.04188537598
2018-09-06 10:04:51.972 -0400,77,440519.1503,-1.004852295,-0.01416015625,0.03153991699
2018-09-06 10:04:51.986 -0400,78,440519.1672,-1.004211426,-0.02153015137,0.01626586914
2018-09-06 10:04:52.006 -0400,79,440519.1841,-1.004638672,-0.02301025391,0.008865356445
2018-09-06 10:04:52.021 -0400,80,440519.2009,-1.006118774,-0.02938842773,0.01081848145
2018-09-06 10:04:52.040 -0400,81,440519.2178,-1.003692627,-0.02989196777,0.01577758789
2018-09-06 10:04:52.054 -0400,82,440519.2347,-1.004699707,-0.03184509277,0.01922607422
2018-09-06 10:04:52.073 -0400,83,440519.2515,-1.004180908,-0.03184509277,0.01577758789
2018-09-06 10:04:52.089 -0400,84,440519.2684,-1.002685547,-0.03283691406,0.01431274414
2018-09-06 10:04:52.123 -0400,85,440519.2853,-1.005187988,-0.03430175781,0.01971435547
2018-09-06 10:04:52.133 -0400,86,440519.3021,-1.003799438,-0.03135681152,0.02861022949
2018-09-06 10:04:52.146 -0400,87,440519.319,-1.005752563,-0.03135681152,0.02661132813
2018-09-06 10:04:52.155 -0400,88,440519.3359,-1.004211426,-0.03233337402,0.01922607422
2018-09-06 10:04:52.175 -0400,89,440519.3527,-1.00617981,-0.0259552002,0.0167388916
2018-09-06 10:04:52.189 -0400,90,440519.3696,-1.005203247,-0.02644348145,0.01872253418
2018-09-06 10:04:52.208 -0400,91,440519.3865,-1.004257202,-0.02496337891,0.0221862793
2018-09-06 10:04:52.223 -0400,92,440519.4033,-1.003829956,-0.02349853516,0.03007507324
2018-09-06 10:04:52.242 -0400,93,440519.4202,-1.006286621,-0.02153015137,0.02906799316
2018-09-06 10:04:52.256 -0400,94,440519.4371,-1.004318237,-0.02104187012,0.02760314941
2018-09-06 10:04:52.276 -0400,95,440519.454,-1.00579834,-0.02153015137,0.02906799316
2018-09-06 10:04:52.291 -0400,96,440519.4708,-1.005874634,-0.01564025879,0.03598022461
2018-09-06 10:04:52.318 -0400,97,440519.4877,-1.004974365,-0.01513671875,0.04534912109
2018-09-06 10:04:52.355 -0400,98,440519.5046,-1.0050354,-0.01513671875,0.05274963379
2018-09-06 10:04:52.357 -0400,99,440519.5215,-1.005462646,-0.01612854004,0.04583740234
2018-09-06 10:04:52.361 -0400,100,440519.5383,-1.003387451,-0.02250671387,0.0350189209
2018-09-06 10:04:52.377 -0400,101,440519.5552,-1.006790161,-0.02153015137,0.03004455566
2018-09-06 10:04:52.392 -0400,102,440519.5721,-1.005371094,-0.02053833008,0.03598022461
2018-09-06 10:04:52.410 -0400,103,440519.5889,-1.005432129,-0.02299499512,0.04386901855
2018-09-06 10:04:52.426 -0400,104,440519.6058,-1.00730896,-0.0259552002,0.03448486328
2018-09-06 10:04:52.444 -0400,105,440519.6227,-1.005249023,-0.02398681641,0.02217102051
2018-09-06 10:04:52.459 -0400,106,440519.6395,-1.006195068,-0.0269317627,0.01921081543
2018-09-06 10:04:52.478 -0400,107,440519.6564,-1.005310059,-0.02349853516,0.0295715332
2018-09-06 10:04:52.493 -0400,108,440519.6733,-1.004379272,-0.02250671387,0.03549194336
2018-09-06 10:04:52.512 -0400,109,440519.6901,-1.004806519,-0.02398681641,0.0285949707
2018-09-06 10:04:52.526 -0400,110,440519.707,-1.006256104,-0.01612854004,0.02215576172
2018-09-06 10:04:52.546 -0400,111,440519.7239,-1.005767822,-0.01760864258,0.02365112305
2018-09-06 10:04:52.560 -0400,112,440519.7408,-1.003829956,-0.01710510254,0.02711486816
2018-09-06 10:04:52.580 -0400,113,440519.7576,-1.004302979,-0.01416015625,0.02415466309
2018-09-06 10:04:52.594 -0400,114,440519.7745,-1.0052948,-0.01219177246,0.02365112305
2018-09-06 10:04:52.613 -0400,115,440519.7914,-1.003799438,-0.01318359375,0.0231628418
2018-09-06 10:04:52.628 -0400,116,440519.8082,-1.007278442,-0.01515197754,0.02659606934
2018-09-06 10:04:52.648 -0400,117,440519.8251,-1.00239563,-0.01219177246,0.03057861328
2018-09-06 10:04:52.661 -0400,118,440519.8419,-1.005401611,-0.005813598633,0.03598022461
2018-09-06 10:04:52.681 -0400,119,440519.8588,-1.00692749,-0.002365112305,0.0399017334
2018-09-06 10:04:52.696 -0400,120,440519.8757,-1.003463745,-0.005310058594,0.03796386719
2018-09-06 10:04:52.714 -0400,121,440519.8925,-1.004425049,-0.007278442383,0.03648376465
2018-09-06 10:04:52.729 -0400,122,440519.9094,-1.003936768,-0.003845214844,0.03598022461
2018-09-06 10:04:52.748 -0400,123,440519.9263,-1.00592041,-0.005310058594,0.0379486084
2018-09-06 10:04:52.763 -0400,124,440519.9432,-1.004852295,-0.006301879883,0.02809143066
2018-09-06 10:04:52.782 -0400,125,440519.96,-1.007263184,-0.01072692871,0.02313232422
2018-09-06 10:04:52.796 -0400,126,440519.9769,-1.005767822,-0.013671875,0.02265930176
2018-09-06 10:04:52.864 -0400,127,440519.9938,-1.004348755,-0.01219177246,0.03007507324
2018-09-06 10:04:52.868 -0400,128,440520.0107,-1.00289917,-0.01318359375,0.03353881836
2018-09-06 10:04:52.870 -0400,129,440520.0275,-1.005401611,-0.009735107422,0.03695678711
2018-09-06 10:04:52.872 -0400,130,440520.0444,-1.00592041,-0.008270263672,0.03991699219
2018-09-06 10:04:52.888 -0400,131,440520.0612,-1.00541687,-0.01121520996,0.03942871094
2018-09-06 10:04:52.901 -0400,132,440520.0781,-1.003921509,-0.01121520996,0.03648376465
2018-09-06 10:04:52.917 -0400,133,440520.095,-1.006408691,-0.01170349121,0.04040527344
2018-09-06 10:04:52.931 -0400,134,440520.1118,-1.005508423,-0.009735107422,0.04830932617
2018-09-06 10:04:52.951 -0400,135,440520.1287,-1.005447388,-0.01416015625,0.04386901855
2018-09-06 10:04:52.965 -0400,136,440520.1456,-1.005386353,-0.01318359375,0.03598022461
2018-09-06 10:04:52.985 -0400,137,440520.1624,-1.004333496,-0.0126953125,0.02661132813
2018-09-06 10:04:52.999 -0400,138,440520.1793,-1.004379272,-0.009246826172,0.03153991699
2018-09-06 10:04:53.019 -0400,139,440520.1962,-1.005447388,-0.009735107422,0.04190063477
2018-09-06 10:04:53.032 -0400,140,440520.2131,-1.004989624,-0.01022338867,0.04585266113
2018-09-06 10:04:53.052 -0400,141,440520.2299,-1.00491333,-0.008270263672,0.03646850586
2018-09-06 10:04:53.066 -0400,142,440520.2468,-1.004837036,-0.004837036133,0.02561950684
